排名,标题,分数,播放量,Up主,Up Id,URL
54,老师提刀上课，怒将400多名学渣培养到了大学，总统亲自为他颁奖,1414644,"
              303.9万
            ","
                良影解说V
              ",258897592,//www.bilibili.com/video/BV1D341187TZ
55,磨出的水泡里的液体是什么？要不要戳破！,1414298,"
              100.3万
            ","
                画渣花小烙
              ",402576555,//www.bilibili.com/video/BV15L411M7M6
56,⚡瓜 如 雪⚡,1411800,"
              74.7万
            ","
                夜雨星繁y
              ",39422678,//www.bilibili.com/video/BV1dP4y157m1
57,《原神》长安姑娘「醉酒当歌，思故人」,1410890,"
              129.9万
            ","
                -TS映画-
              ",299732210,//www.bilibili.com/video/BV1iS4y197kh
58,【罗翔】诬告别人什么罪，你也要判什么罪！诬告与反坐,1395901,"
              98.8万
            ","
                罗翔说刑法
              ",517327498,//www.bilibili.com/video/BV1qY411x7gJ
59,狗来都记全了,1394790,"
              95万
            ","
                高斯Goh
              ",3913194,//www.bilibili.com/video/BV1eg411N7iX
60,日本重量级创作歌手宇多田光正式入驻B站！,1393788,"
              93.9万
            ","
                宇多田光
              ",1016555164,//www.bilibili.com/video/BV1ZU4y1K7N7
61,海贼王动画1000集1000秒特别纪念PV视频，配上各时期OP BGM，感动！,1379950,"
              64万
            ","
                TalkOP海贼王
              ",3055416,//www.bilibili.com/video/BV1NL411M7w5
62,“我爱你，如鲸向海，不可避免，退无可退”,1367606,"
              54.2万
            ","
                幸运猎手
              ",496783876,//www.bilibili.com/video/BV1734y1o7Ff
63,中 国 人 不 骗 中 国 人 ！,1353598,"
              104.2万
            ","
                进击的金厂长
              ",321422126,//www.bilibili.com/video/BV1sU4y1u746
64,《原神》胡桃手书「元气满满的一天><！」,1321187,"
              37.3万
            ","
                暗猫の祝福
              ",888465,//www.bilibili.com/video/BV1of4y1N77G
65,《 M C 寄生虫爆发（3） 》豆瓣：6.6分,1320898,"
              39.7万
            ","
                与山0v0
              ",26240675,//www.bilibili.com/video/BV1XU4y1M7f8
66,【全职高手】千机伞13种全形态等比例 ！！,1320502,"
              57.7万
            ","
                海伦娜儿
              ",432260419,//www.bilibili.com/video/BV1Wb4y1b7zX
67,抽电子烟一年不来大姨妈？揭秘新型毒品，一碰成瘾！,1309517,"
              85.4万
            ","
                大漠叔叔
              ",67141499,//www.bilibili.com/video/BV1Sq4y1u7dr
68,【医学博士】室友闻不到自己脚臭怎么办？丨如何祛除脚臭？,1307165,"
              67.3万
            ","
                兔叭咯
              ",7788379,//www.bilibili.com/video/BV1Uq4y167Bz
69,【维克托】越是光芒万丈的人，越容易燃尽生命的能量     血肉苦弱，机械飞升   加入光荣的进化吧！,1301490,"
              112.4万
            ","
                很甜很甜的熙瓜
              ",7877344,//www.bilibili.com/video/BV1VL411g7k9
70,我的世界up主接力生存！【十七】,1290482,"
              54.2万
            ","
                卡丘啊那个卡丘
              ",12481638,//www.bilibili.com/video/BV1Xb4y1t72r
71,“全网高校浴室扣费最快挑战”总结,1282097,"
              99.2万
            ","
                Zhan丨
              ",173469252,//www.bilibili.com/video/BV1dq4y1u7iP
72,POV：亚洲小孩在白人小孩面前打开了午餐盒,1281984,"
              132.3万
            ","
                internet-boy
              ",415403269,//www.bilibili.com/video/BV1BR4y1x7N3
73,让你不敢再熬夜的睡眠真相：用5种伤害把自己作死，无法补救！如何打造黄金睡眠周期？,1275385,"
              91.4万
            ","
                心河摆渡
              ",230983435,//www.bilibili.com/video/BV14q4y167xt
74,林小北云顶之弈：新版本T0阵容！把把有分，赌狗天花板爆伤卡特！赌卡特，保镖卡特！云顶手游金铲铲双城传说 云顶S6上分套路阵容教学！【82期】,1271477,"
              83万
            ","
                林小北Lindo
              ",18343134,//www.bilibili.com/video/BV1rQ4y1U7hX
75,草 辅 导,1269725,"
              127.3万
            ","
                金典SATINE
              ",627629503,//www.bilibili.com/video/BV1f341187so
76,现在当服务员都要会跳舞了吗？饭吃一半儿被当场尬住【怎么这么值ep34-怂火锅】,1268494,"
              82.7万
            ","
                王师傅和小毛毛
              ",452606628,//www.bilibili.com/video/BV1d34y1d7MP
77,语文课本中那个被暗杀的人，到底有多厉害？,1267682,"
              64.8万
            ","
                二二酸酸
              ",106685726,//www.bilibili.com/video/BV1Wq4y167Du
78,滚！,1260733,"
              69.8万
            ","
                EdmundDZhang
              ",433351,//www.bilibili.com/video/BV1vb4y1b7nv
79,辣根咕哒豆？,1260056,"
              80万
            ","
                文武俩兄弟
              ",281284373,//www.bilibili.com/video/BV17h41147em
80,谁 是 喝 奶 王（原创rap）,1256275,"
              132.1万
            ","
                hanser
              ",11073,//www.bilibili.com/video/BV11P4y1G7qD
81,跨越整个中国，奔赴祖国四角，给你一场身临其境的观星体验！,1253260,"
              35.3万
            ","
                影视飓风
              ",946974,//www.bilibili.com/video/BV1u34y1o7pB
82,华农兄弟：兄弟大老远来一趟不容易，带他找神秘的“马”，顺便吃点好吃的,1249266,"
              117.9万
            ","
                华农兄弟
              ",250858633,//www.bilibili.com/video/BV1Eq4y1g7Sz
83,S11谁最能漏刀？498场录像大统计，看看谁的基本功最扎实！,1247093,"
              101.8万
            ","
                LPL战术小黑板
              ",594534726,//www.bilibili.com/video/BV19U4y1M7RG
84,你没用过的这些表情包原来是大小咪！,1246947,"
              154.9万
            ","
                papi家的大小咪
              ",231048690,//www.bilibili.com/video/BV1z34y1d7k9
